, что :  count:3180  textCnt:1255
каждый из :  count:40  textCnt:39
в два :  count:40  textCnt:38
он , :  count:40  textCnt:39
год и :  count:40  textCnt:40
наш планет :  count:40  textCnt:37
специалист nasa :  count:40  textCnt:39
запуск ракета :  count:40  textCnt:30
земля и :  count:40  textCnt:39
. результат :  count:40  textCnt:39
в афганистан :  count:40  textCnt:24
. именно :  count:40  textCnt:39
очередь , :  count:40  textCnt:39
вооружение , :  count:40  textCnt:37
на день :  count:40  textCnt:33
планируюсь , :  count:40  textCnt:40
вышел на :  count:40  textCnt:36
намечен на :  count:39  textCnt:37
область . :  count:39  textCnt:37
официальный представитель :  count:39  textCnt:38
какой либо :  count:39  textCnt:38
молния м :  count:39  textCnt:11
в 10 :  count:39  textCnt:37
соответствие с :  count:39  textCnt:39
информация , :  count:39  textCnt:38
борьба с :  count:39  textCnt:35
в основное :  count:39  textCnt:39
в 2004 :  count:39  textCnt:33
американский военный :  count:39  textCnt:33
в китай :  count:39  textCnt:28
эксперимент , :  count:39  textCnt:35
мыс канаверал :  count:39  textCnt:28
прогресс м :  count:39  textCnt:22
иду о :  count:39  textCnt:38
февраль 2003 :  count:39  textCnt:38
что они :  count:39  textCnt:39
американский учёный :  count:39  textCnt:34
, уж :  count:39  textCnt:39
проблема , :  count:39  textCnt:38
, работающий :  count:39  textCnt:38
находящийся на :  count:39  textCnt:39
в соответствие :  count:39  textCnt:39
стал известно :  count:39  textCnt:38
в октябрь :  count:39  textCnt:37
предполагаю , :  count:39  textCnt:37
поверхность . :  count:39  textCnt:34
, 3 :  count:39  textCnt:36
сообщаюсь в :  count:39  textCnt:39
guardian . :  count:39  textCnt:38
. чтобы :  count:38  textCnt:37
. ещё :  count:38  textCnt:38
отношусь к :  count:38  textCnt:38
более чем :  count:38  textCnt:35
привести к :  count:38  textCnt:37
документ , :  count:38  textCnt:29
представитель nasa :  count:38  textCnt:32
заявил представитель :  count:38  textCnt:38
изменение в :  count:38  textCnt:34
как отмечаю :  count:38  textCnt:37
есть создан :  count:38  textCnt:37
в середина :  count:38  textCnt:37
надеюсь , :  count:38  textCnt:38
. пока :  count:38  textCnt:38
, связанный :  count:38  textCnt:38
в 2007 :  count:38  textCnt:34
менее , :  count:38  textCnt:38
поверхность планет :  count:38  textCnt:34
, быль :  count:38  textCnt:38
в российский :  count:38  textCnt:32
в она :  count:38  textCnt:35
отношение к :  count:37  textCnt:37
в страна :  count:37  textCnt:30
отправился в :  count:37  textCnt:35
животное . :  count:37  textCnt:33
дело в :  count:37  textCnt:37
. дело :  count:37  textCnt:36
, кто :  count:37  textCnt:35
проблема с :  count:37  textCnt:34
летательный аппарат :  count:37  textCnt:31
. затем :  count:37  textCnt:37
война в :  count:37  textCnt:29
из самый :  count:37  textCnt:36
экспедиция , :  count:37  textCnt:32
небесный тело :  count:37  textCnt:30
день , :  count:37  textCnt:37
объект . :  count:37  textCnt:35
пришёл к :  count:37  textCnt:35
новость , :  count:37  textCnt:37
титан , :  count:37  textCnt:23
оружие . :  count:36  textCnt:32
они , :  count:36  textCnt:36
шаттл , :  count:36  textCnt:33
лера чиао :  count:36  textCnt:33
. ожидаюсь :  count:36  textCnt:36
задача , :  count:36  textCnt:36
посадка на :  count:36  textCnt:35
. сам :  count:36  textCnt:36
, например :  count:36  textCnt:36
в проект :  count:36  textCnt:29
тот , :  count:36  textCnt:35
он не :  count:36  textCnt:33
программа . :  count:36  textCnt:35
1999 год :  count:36  textCnt:33
. причина :  count:36  textCnt:35
робот , :  count:36  textCnt:24
, или :  count:36  textCnt:36
на основа :  count:36  textCnt:33
они есть :  count:36  textCnt:35
устройство , :  count:36  textCnt:30
два с :  count:36  textCnt:33
в следующий :  count:36  textCnt:34
соглашение о :  count:36  textCnt:33
с американский :  count:35  textCnt:28
аппарат cassini :  count:35  textCnt:31
солнечный ветер :  count:35  textCnt:14
. аппарат :  count:35  textCnt:33
состою из :  count:35  textCnt:35
news , :  count:35  textCnt:35
жизнь . :  count:35  textCnt:33
washington post :  count:35  textCnt:32
, подчеркнул :  count:35  textCnt:33
вышел в :  count:35  textCnt:28
в нем :  count:35  textCnt:35
космонавт , :  count:35  textCnt:33
на один :  count:35  textCnt:34
китай . :  count:35  textCnt:33
, утверждаю :  count:35  textCnt:34
энергия . :  count:35  textCnt:30
к вывод :  count:35  textCnt:32
что у :  count:35  textCnt:34
с такой :  count:35  textCnt:34
владимир путин :  count:35  textCnt:29
10 тысяча :  count:35  textCnt:29
. что :  count:35  textCnt:35
жизнь на :  count:35  textCnt:29
работа , :  count:35  textCnt:34
. исследователь :  count:35  textCnt:35
за счет :  count:35  textCnt:33
который являюсь :  count:35  textCnt:34
полёт шаттл :  count:35  textCnt:29
час , :  count:35  textCnt:32
тогда как :  count:34  textCnt:33
южный корея :  count:34  textCnt:22
северный корея :  count:34  textCnt:18
, поэтому :  count:34  textCnt:33
который нахожусь :  count:34  textCnt:34
5 миллиард :  count:34  textCnt:31
решение о :  count:34  textCnt:33
. основной :  count:34  textCnt:31
луна , :  count:34  textCnt:29
, несмотря :  count:34  textCnt:32
оборудование , :  count:34  textCnt:32
космический программа :  count:34  textCnt:27
в май :  count:34  textCnt:33
поверхность титан :  count:34  textCnt:20
ракета . :  count:34  textCnt:30
в суббота :  count:34  textCnt:33
, опубликованный :  count:34  textCnt:34
глава nasa :  count:34  textCnt:25
баз , :  count:34  textCnt:24
, может :  count:34  textCnt:34
расположенный в :  count:34  textCnt:32
, весь :  count:34  textCnt:32
космодром плесецк :  count:34  textCnt:22
учёный . :  count:34  textCnt:33
не может :  count:34  textCnt:33
и сша :  count:34  textCnt:28
в 2001 :  count:34  textCnt:34
прибор , :  count:34  textCnt:30
санкт петербург :  count:34  textCnt:20
, его :  count:34  textCnt:34
это есть :  count:34  textCnt:33
, мы :  count:34  textCnt:33
внешний топливный :  count:34  textCnt:25
ещё не :  count:34  textCnt:34
проблема . :  count:34  textCnt:33
за предел :  count:34  textCnt:32
тот же :  count:34  textCnt:32
салижан шарип :  count:34  textCnt:31
, могу :  count:34  textCnt:32
до конец :  count:34  textCnt:32
на место :  count:34  textCnt:33
пру помощь :  count:34  textCnt:33
военный кафедра :  count:33  textCnt:7
в условие :  count:33  textCnt:32
окружающий среда :  count:33  textCnt:30
однако в :  count:33  textCnt:32
галактика , :  count:33  textCnt:26
. ракета :  count:33  textCnt:30
приступил к :  count:33  textCnt:30
в март :  count:33  textCnt:33
сайт bbc :  count:33  textCnt:33
этот страна :  count:33  textCnt:31
агентство по :  count:33  textCnt:32
. её :  count:33  textCnt:31
такой вывод :  count:33  textCnt:33
член экипаж :  count:33  textCnt:32
в южный :  count:33  textCnt:32
самолёт . :  count:33  textCnt:28
ирак . :  count:33  textCnt:28
военный техник :  count:33  textCnt:23
предназначен для :  count:33  textCnt:31
тот пора :  count:33  textCnt:30
в первый :  count:33  textCnt:31
до это :  count:33  textCnt:32
китай , :  count:33  textCnt:28
, состоящий :  count:33  textCnt:31
, добавил :  count:33  textCnt:33
что его :  count:33  textCnt:31
. исследование :  count:33  textCnt:32
связан с :  count:33  textCnt:33
. также :  count:33  textCnt:32
совместно с :  count:33  textCnt:33
пора , :  count:33  textCnt:30
принимаю участие :  count:33  textCnt:30
агентство риа :  count:33  textCnt:33
тысяча доллар :  count:33  textCnt:28
станция в :  count:33  textCnt:31
к такой :  count:33  textCnt:33
она есть :  count:33  textCnt:31
как пишу :  count:32  textCnt:30
государство , :  count:32  textCnt:30
есть обнаружен :  count:32  textCnt:29
york times :  count:32  textCnt:31
и американский :  count:32  textCnt:32
f 16 :  count:32  textCnt:15
с свой :  count:32  textCnt:29
принял участие :  count:32  textCnt:29
запланирован на :  count:32  textCnt:31
на два :  count:32  textCnt:31
черноморский флот :  count:32  textCnt:14
что касаюсь :  count:32  textCnt:32
. планируюсь :  count:32  textCnt:31
после это :  count:32  textCnt:32
в история :  count:32  textCnt:30
информационный агентство :  count:32  textCnt:30
контракт на :  count:32  textCnt:24
, хотя :  count:32  textCnt:32
который может :  count:32  textCnt:31
регион . :  count:32  textCnt:30
пишу в :  count:32  textCnt:32
оружие в :  count:32  textCnt:23
в целое :  count:32  textCnt:31
в журнал :  count:32  textCnt:32
баллистический ракета :  count:32  textCnt:18
сторона , :  count:32  textCnt:30
год от :  count:32  textCnt:29
с мкс :  count:31  textCnt:25
ввс россия :  count:31  textCnt:21
. перед :  count:31  textCnt:30
есть работать :  count:31  textCnt:27
газ . :  count:31  textCnt:26
, должен :  count:31  textCnt:31
газ , :  count:31  textCnt:28
по весь :  count:31  textCnt:30
иностранный дело :  count:31  textCnt:30
и для :  count:31  textCnt:30
с другой :  count:31  textCnt:28
, сша :  count:31  textCnt:29
по оценка :  count:31  textCnt:29
вышел из :  count:31  textCnt:27
его мнение :  count:31  textCnt:30
солнце . :  count:31  textCnt:29
временю , :  count:31  textCnt:31
армия , :  count:31  textCnt:29
месяц , :  count:31  textCnt:29
составляю около :  count:31  textCnt:28
, было :  count:31  textCnt:30
, их :  count:31  textCnt:30
сообщаюсь , :  count:31  textCnt:29
полю на :  count:31  textCnt:25
в апрель :  count:31  textCnt:30
космический грузовик :  count:31  textCnt:22
вод и :  count:31  textCnt:28
в июль :  count:31  textCnt:30
приведет к :  count:31  textCnt:24
армия сша :  count:31  textCnt:17
вооружение . :  count:31  textCnt:30
ни один :  count:31  textCnt:29
операция в :  count:31  textCnt:27
российский космонавт :  count:31  textCnt:29
new scientist :  count:31  textCnt:28
по информация :  count:31  textCnt:30
могу бы :  count:31  textCnt:31
, отмечаю :  count:31  textCnt:30
опубликованный в :  count:30  textCnt:30
космический тело :  count:30  textCnt:20
спускаемый аппарат :  count:30  textCnt:22
военный спутник :  count:30  textCnt:25
метр в :  count:30  textCnt:24
который быль :  count:30  textCnt:30
на мыс :  count:30  textCnt:25
в океан :  count:30  textCnt:27
