. по слово :  count:343  textCnt:302
, сказал он :  count:39  textCnt:38
2006 год . :  count:39  textCnt:36
февраль 2003 год :  count:39  textCnt:38
в 2004 год :  count:38  textCnt:32
в соответствие с :  count:38  textCnt:38
планируюсь , что :  count:38  textCnt:38
как сообщаю агентство :  count:38  textCnt:38
надеюсь , что :  count:38  textCnt:38
, сообщаю агентство :  count:38  textCnt:38
вывод , что :  count:37  textCnt:35
, из который :  count:37  textCnt:36
, что они :  count:37  textCnt:37
в 2005 год :  count:37  textCnt:34
не менее , :  count:36  textCnt:36
. ожидаюсь , :  count:36  textCnt:36
космический корабль , :  count:36  textCnt:35
того , в :  count:36  textCnt:36
один из самый :  count:36  textCnt:35
случай , если :  count:36  textCnt:32
, связанный с :  count:36  textCnt:36
. такой образ :  count:36  textCnt:35
открытый космос . :  count:36  textCnt:29
учёный считаю , :  count:36  textCnt:34
солнечный система . :  count:35  textCnt:32
тем , как :  count:35  textCnt:35
к том , :  count:35  textCnt:29
в пресс релиз :  count:35  textCnt:33
два с половина :  count:35  textCnt:32
несмотря на то :  count:35  textCnt:34
тысяча человек . :  count:34  textCnt:31
известно , что :  count:34  textCnt:34
скорее весь , :  count:34  textCnt:34
риа новость , :  count:34  textCnt:34
, несмотря на :  count:34  textCnt:32
внешний топливный бак :  count:34  textCnt:25
год , а :  count:34  textCnt:32
на земля , :  count:34  textCnt:33
агентство риа новость :  count:33  textCnt:33
дело в том :  count:33  textCnt:33
экспедиция на мкс :  count:33  textCnt:29
сайт bbc news :  count:33  textCnt:33
федеральный космический агентство :  count:33  textCnt:31
, тогда как :  count:33  textCnt:32
сказал он . :  count:33  textCnt:32
корабль союз тма :  count:33  textCnt:29
речь иду о :  count:33  textCnt:32
. дело в :  count:33  textCnt:33
в 2001 год :  count:33  textCnt:33
предполагаю , что :  count:33  textCnt:33
, по его :  count:32  textCnt:32
к вывод , :  count:32  textCnt:31
, например , :  count:32  textCnt:32
. для это :  count:32  textCnt:32
в 2006 год :  count:32  textCnt:28
2005 год , :  count:32  textCnt:31
, что у :  count:31  textCnt:30
в 2007 год :  count:31  textCnt:28
его мнение , :  count:31  textCnt:30
по его мнение :  count:31  textCnt:30
как сообщаюсь на :  count:31  textCnt:30
, заявил в :  count:30  textCnt:30
один из они :  count:30  textCnt:29
космический станция , :  count:30  textCnt:30
, что его :  count:30  textCnt:28
2 , 5 :  count:30  textCnt:28
2003 год , :  count:30  textCnt:30
в час . :  count:30  textCnt:28
с космодром байконур :  count:30  textCnt:29
агентство reuters . :  count:30  textCnt:30
, то есть :  count:30  textCnt:30
агентство reuters , :  count:30  textCnt:30
. планируюсь , :  count:30  textCnt:30
. из за :  count:30  textCnt:30
, из за :  count:30  textCnt:28
световы год от :  count:29  textCnt:26
, расположенный в :  count:29  textCnt:28
bbc news , :  count:29  textCnt:29
добавил , что :  count:29  textCnt:28
, 5 миллиард :  count:29  textCnt:27
в прошлое год :  count:29  textCnt:28
, который не :  count:29  textCnt:28
, как и :  count:29  textCnt:28
на международный космический :  count:29  textCnt:29
. как заявил :  count:29  textCnt:29
год . как :  count:29  textCnt:29
вместе с тем :  count:29  textCnt:29
год , и :  count:28  textCnt:28
. по их :  count:28  textCnt:27
new york times :  count:28  textCnt:28
в рамка программа :  count:28  textCnt:26
год . по :  count:28  textCnt:28
к такой вывод :  count:28  textCnt:28
. по информация :  count:28  textCnt:28
установил , что :  count:28  textCnt:28
пришёл к вывод :  count:27  textCnt:26
2007 год . :  count:27  textCnt:26
как ожидаюсь , :  count:27  textCnt:26
, сообщаюсь в :  count:27  textCnt:27
свой очередь , :  count:27  textCnt:27
. он также :  count:27  textCnt:27
, в время :  count:27  textCnt:25
. как пишу :  count:27  textCnt:27
, находящийся на :  count:27  textCnt:27
в один из :  count:27  textCnt:26
в тихий океан :  count:26  textCnt:19
год , сообщаю :  count:26  textCnt:26
. что касаюсь :  count:26  textCnt:26
. в это :  count:26  textCnt:26
на сайт bbc :  count:26  textCnt:26
пояснил , что :  count:26  textCnt:25
, который может :  count:26  textCnt:25
2004 год , :  count:26  textCnt:26
. в случай :  count:26  textCnt:26
на орбита сатурн :  count:26  textCnt:16
4 , 5 :  count:26  textCnt:25
в то время :  count:26  textCnt:26
тот пора , :  count:26  textCnt:23
в это год :  count:26  textCnt:23
агентство associated press :  count:26  textCnt:26
, в настоящее :  count:26  textCnt:26
на мыс канаверал :  count:25  textCnt:21
. как рассказал :  count:25  textCnt:25
новость . в :  count:25  textCnt:25
washington post . :  count:25  textCnt:25
о это сообщаю :  count:25  textCnt:25
с космодром плесецк :  count:25  textCnt:20
учёный полагаю , :  count:25  textCnt:24
по сравнение с :  count:25  textCnt:22
итар тасс . :  count:25  textCnt:25
космический агентство , :  count:25  textCnt:23
миллиард год назад :  count:25  textCnt:25
уверен , что :  count:25  textCnt:24
, и в :  count:25  textCnt:25
, скорее весь :  count:24  textCnt:24
сообщаюсь ранее , :  count:24  textCnt:24
, что не :  count:24  textCnt:24
, пишу в :  count:24  textCnt:24
. учёный считаю :  count:24  textCnt:24
в февраль 2003 :  count:24  textCnt:24
. в качество :  count:24  textCnt:24
в первый очередь :  count:24  textCnt:23
сообщаюсь , что :  count:24  textCnt:22
, заявил , :  count:24  textCnt:24
космический станция мкс :  count:24  textCnt:24
, опубликованный в :  count:24  textCnt:24
в 1997 год :  count:24  textCnt:24
который , по :  count:24  textCnt:23
, сообщаю интерфакс :  count:24  textCnt:24
, состоящий из :  count:24  textCnt:23
в год . :  count:24  textCnt:23
вышел из строя :  count:24  textCnt:20
как сообщаюсь ранее :  count:24  textCnt:24
выход в космос :  count:24  textCnt:18
как правило , :  count:24  textCnt:24
космический агентство . :  count:24  textCnt:24
. в рамка :  count:24  textCnt:23
, что за :  count:24  textCnt:23
, о это :  count:24  textCnt:24
, в ход :  count:24  textCnt:24
сообщаю интерфакс . :  count:24  textCnt:24
, что пру :  count:23  textCnt:23
, на котор :  count:23  textCnt:23
говорюсь , что :  count:23  textCnt:21
. в свой :  count:23  textCnt:23
в ирак и :  count:23  textCnt:19
, что для :  count:23  textCnt:23
пора , пока :  count:23  textCnt:20
, заявил представитель :  count:23  textCnt:23
, что к :  count:23  textCnt:23
по крайний мера :  count:23  textCnt:23
, однако , :  count:23  textCnt:23
, так что :  count:23  textCnt:21
сообщаюсь в пресс :  count:23  textCnt:23
выяснился , что :  count:23  textCnt:23
, сообщаю ap :  count:23  textCnt:23
. по оценка :  count:23  textCnt:22
, но в :  count:23  textCnt:23
до тот пора :  count:23  textCnt:20
на высота около :  count:22  textCnt:22
на марс . :  count:22  textCnt:21
на марс , :  count:22  textCnt:19
к пример , :  count:22  textCnt:21
, пока не :  count:22  textCnt:22
. после это :  count:22  textCnt:22
сообщаю ap . :  count:22  textCnt:22
союз тма 5 :  count:22  textCnt:18
, сообщаю газета :  count:22  textCnt:21
в 2002 год :  count:22  textCnt:22
. . . :  count:22  textCnt:22
space . com :  count:22  textCnt:22
, что именно :  count:22  textCnt:21
о это сообщил :  count:22  textCnt:22
, по который :  count:22  textCnt:22
заявил в интервью :  count:22  textCnt:21
выяснил , что :  count:22  textCnt:22
. как ожидаюсь :  count:22  textCnt:21
год , однако :  count:22  textCnt:21
, который способен :  count:22  textCnt:19
в 2000 год :  count:22  textCnt:22
на мкс , :  count:22  textCnt:20
по слово учёный :  count:22  textCnt:21
год . однако :  count:22  textCnt:22
, что причина :  count:22  textCnt:21
может привести к :  count:22  textCnt:22
космический корабль союз :  count:21  textCnt:19
. считаюсь , :  count:21  textCnt:21
, что с :  count:21  textCnt:21
настоящее время в :  count:21  textCnt:21
, в свой :  count:21  textCnt:21
, который позволил :  count:21  textCnt:21
доллар . в :  count:21  textCnt:20
в зависимость от :  count:21  textCnt:21
слово учёный , :  count:21  textCnt:21
год от земля :  count:21  textCnt:19
напомнил , в :  count:21  textCnt:21
на мкс в :  count:21  textCnt:20
, что россия :  count:21  textCnt:17
новость . по :  count:21  textCnt:21
. с помощь :  count:21  textCnt:21
в настоящий момент :  count:21  textCnt:21
ракета носитель союз :  count:21  textCnt:18
том число и :  count:21  textCnt:21
. в отличие :  count:21  textCnt:21
лента . ру :  count:21  textCnt:19
от земля . :  count:21  textCnt:21
new scientist . :  count:21  textCnt:20
, согласно который :  count:21  textCnt:19
опасаюсь , что :  count:20  textCnt:19
, что их :  count:20  textCnt:20
в ирак . :  count:20  textCnt:17
в интервью агентство :  count:20  textCnt:19
на внешний поверхность :  count:20  textCnt:14
сообщаю итар тасс :  count:20  textCnt:20
, 5 миллион :  count:20  textCnt:17
, что весь :  count:20  textCnt:20
слово , в :  count:20  textCnt:20
сказал , что :  count:20  textCnt:19
как сообщаю bbc :  count:20  textCnt:20
с половина год :  count:20  textCnt:18
глобальный потепление , :  count:20  textCnt:20
министерство оборона сша :  count:20  textCnt:19
. как отмечаю :  count:20  textCnt:19
, что мы :  count:20  textCnt:18
год . тогда :  count:20  textCnt:20
это год . :  count:20  textCnt:20
по аэронавтика и :  count:20  textCnt:20
, который являюсь :  count:20  textCnt:19
, в течение :  count:20  textCnt:19
открытый космос , :  count:20  textCnt:19
, расположенный на :  count:20  textCnt:20
, пишу газета :  count:20  textCnt:20
в течение ближайший :  count:20  textCnt:20
являюсь один из :  count:20  textCnt:18
министр оборона рф :  count:20  textCnt:20
космический войско рф :  count:20  textCnt:18
на поверхность титан :  count:20  textCnt:14
корабль , который :  count:19  textCnt:19
пру это , :  count:19  textCnt:19
, работающий на :  count:19  textCnt:19
, чем у :  count:19  textCnt:19
the guardian . :  count:19  textCnt:19
к 2010 год :  count:19  textCnt:16
год , в :  count:19  textCnt:19
место , где :  count:19  textCnt:19
в ближайший будущее :  count:19  textCnt:18
не сообщаюсь . :  count:19  textCnt:19
один из главное :  count:19  textCnt:19
в время полёт :  count:19  textCnt:17
, пру это :  count:19  textCnt:19
более того , :  count:19  textCnt:18
в ирак , :  count:19  textCnt:17
, что новый :  count:19  textCnt:18
, сообщаю defense :  count:19  textCnt:19
их слово , :  count:19  textCnt:19
, что такой :  count:19  textCnt:19
год . о :  count:19  textCnt:19
на орбита , :  count:19  textCnt:19
космический аппарат cassini :  count:19  textCnt:17
по их слово :  count:19  textCnt:19
1 , 5 :  count:19  textCnt:19
геннадий падалка и :  count:19  textCnt:17
в два раз :  count:19  textCnt:19
подводной лодка , :  count:19  textCnt:13
, с который :  count:19  textCnt:19
то же время :  count:19  textCnt:19
больше , чем :  count:19  textCnt:18
однако , по :  count:19  textCnt:19
, находящийся в :  count:19  textCnt:17
, входящий в :  count:19  textCnt:19
в случай , :  count:19  textCnt:19
. после того :  count:19  textCnt:19
война в ирак :  count:19  textCnt:12
январь 2005 год :  count:19  textCnt:19
в центр управление :  count:19  textCnt:18
новость . как :  count:19  textCnt:19
вышел в открытый :  count:19  textCnt:15
тихий океан , :  count:19  textCnt:15
о это в :  count:18  textCnt:18
, среди который :  count:18  textCnt:18
россия владимир путин :  count:18  textCnt:18
медико биологический проблема :  count:18  textCnt:17
оборона рф сергей :  count:18  textCnt:18
военен воздушный сила :  count:18  textCnt:16
год . он :  count:18  textCnt:17
пять год . :  count:18  textCnt:18
. возможно , :  count:18  textCnt:18
, как отмечаю :  count:18  textCnt:18
с половина час :  count:18  textCnt:18
как сообщил в :  count:18  textCnt:17
. до сей :  count:18  textCnt:18
подтвердил , что :  count:18  textCnt:17
означаю , что :  count:18  textCnt:18
управление полёт цуп :  count:18  textCnt:18
с земля . :  count:18  textCnt:18
в автоматический режим :  count:18  textCnt:18
associated press , :  count:18  textCnt:18
включаю в себя :  count:18  textCnt:17
. к такой :  count:18  textCnt:18
, с помощь :  count:18  textCnt:17
градус по цельсий :  count:18  textCnt:17
пресс конференция в :  count:18  textCnt:18
, такой как :  count:18  textCnt:18
в этот область :  count:18  textCnt:18
военен морской сила :  count:18  textCnt:16
в последний время :  count:18  textCnt:18
миллион год . :  count:18  textCnt:17
институт медико биологический :  count:18  textCnt:17
как сообщаю риа :  count:18  textCnt:18
тысяча доллар . :  count:18  textCnt:18
сей пора не :  count:17  textCnt:17
, когда в :  count:17  textCnt:17
после того как :  count:17  textCnt:17
, отвечающий за :  count:17  textCnt:15
салижана шарипов и :  count:17  textCnt:17
тот , кто :  count:17  textCnt:17
по их мнение :  count:17  textCnt:17
стал известно , :  count:17  textCnt:17
до 2010 год :  count:17  textCnt:15
, как в :  count:17  textCnt:16
, на борт :  count:17  textCnt:17
в то же :  count:17  textCnt:17
, который можно :  count:17  textCnt:17
х год . :  count:17  textCnt:17
миллиард доллар , :  count:17  textCnt:13
, сообщаю cnn :  count:17  textCnt:17
сообщаю информационный агентство :  count:17  textCnt:16
рф сергей иван :  count:17  textCnt:17
, и , :  count:17  textCnt:17
совершил посадка на :  count:17  textCnt:17
роскосмос анатолий перминов :  count:17  textCnt:17
, а на :  count:17  textCnt:17
. более того :  count:17  textCnt:16
, однако в :  count:17  textCnt:16
вышел на орбита :  count:17  textCnt:16
. известно , :  count:17  textCnt:17
световы год . :  count:17  textCnt:15
york times . :  count:17  textCnt:17
космический корабль . :  count:17  textCnt:15
на околоземный орбита :  count:17  textCnt:16
спутник сатурн , :  count:17  textCnt:17
. учёный полагаю :  count:17  textCnt:15
думаю , что :  count:17  textCnt:17
, считаю учёный :  count:17  textCnt:17
в это случай :  count:17  textCnt:17
, что американский :  count:17  textCnt:16
, в то :  count:17  textCnt:17
на 2005 год :  count:17  textCnt:16
год . на :  count:17  textCnt:17
их мнение , :  count:17  textCnt:17
в солнечный система :  count:17  textCnt:16
так и не :  count:17  textCnt:16
тихий океан . :  count:17  textCnt:17
до наш эра :  count:17  textCnt:14
, который быль :  count:17  textCnt:17
сообщаю cnn . :  count:16  textCnt:16
тысяча человек , :  count:16  textCnt:15
то время как :  count:16  textCnt:16
как сообщаю газета :  count:16  textCnt:16
, что есть :  count:16  textCnt:16
московский временю в :  count:16  textCnt:16
, но , :  count:16  textCnt:16
он отметил , :  count:16  textCnt:16
defense industry daily :  count:16  textCnt:14
. в ближайший :  count:16  textCnt:16
. однако в :  count:16  textCnt:16
американский аэрокосмический агентство :  count:16  textCnt:14
, считаю , :  count:16  textCnt:16
передаю reuters . :  count:16  textCnt:16
10 миллион доллар :  count:16  textCnt:14
корреспондент лента . :  count:16  textCnt:15
как известно , :  count:16  textCnt:15
в том случай :  count:16  textCnt:12
не исключён , :  count:16  textCnt:16
в журнал nature :  count:16  textCnt:16
говорю , что :  count:16  textCnt:16
луна и марс :  count:16  textCnt:13
spirit и opportunity :  count:16  textCnt:12
, что подобный :  count:16  textCnt:16
, то в :  count:16  textCnt:16
, что если :  count:16  textCnt:16
, передаю reuters :  count:16  textCnt:16
ранее сообщаюсь , :  count:16  textCnt:16
новость . о :  count:16  textCnt:16
не знаю , :  count:16  textCnt:14
, необходимый для :  count:16  textCnt:15
. по предварительный :  count:16  textCnt:16
исключаю , что :  count:16  textCnt:16
спутник сатурн . :  count:16  textCnt:14
грузовой корабль прогресс :  count:16  textCnt:15
в атмосфера , :  count:16  textCnt:16
тысяча год . :  count:16  textCnt:15
. в среда :  count:16  textCnt:16
в плотный слой :  count:16  textCnt:15
объявил , что :  count:16  textCnt:16
пру это в :  count:16  textCnt:16
. до это :  count:16  textCnt:15
. в то :  count:16  textCnt:16
поверхность планет . :  count:16  textCnt:16
министр иностранный дело :  count:16  textCnt:16
. в конец :  count:16  textCnt:16
. в прошлое :  count:16  textCnt:16
такой вывод пришёл :  count:16  textCnt:16
исключён , что :  count:16  textCnt:16
на сегодняшний день :  count:16  textCnt:15
, в отличие :  count:16  textCnt:16
космос , сообщаю :  count:16  textCnt:16
не исключаю , :  count:16  textCnt:16
также , что :  count:16  textCnt:14
учёный утверждаю , :  count:16  textCnt:16
представитель центр управление :  count:16  textCnt:16
топливный бак , :  count:16  textCnt:14
в вооружённый сила :  count:16  textCnt:13
однако , как :  count:16  textCnt:15
космический грузовик прогресс :  count:16  textCnt:15
в течение два :  count:16  textCnt:16
в 2008 год :  count:16  textCnt:16
том случай , :  count:16  textCnt:12
меньше , чем :  count:16  textCnt:16
. речь иду :  count:15  textCnt:15
ракетен космический корпорация :  count:15  textCnt:14
космический аппарат , :  count:15  textCnt:14
предположить , что :  count:15  textCnt:15
тем , по :  count:15  textCnt:15
факт , что :  count:15  textCnt:15
. как отмечаюсь :  count:15  textCnt:15
, что и :  count:15  textCnt:15
, у который :  count:15  textCnt:9
работа в открытый :  count:15  textCnt:12
миллион доллар в :  count:15  textCnt:12
газета washington post :  count:15  textCnt:15
. космический аппарат :  count:15  textCnt:15
, утверждаю , :  count:15  textCnt:15
1997 год . :  count:15  textCnt:15
прежде весь , :  count:15  textCnt:15
, который смог :  count:15  textCnt:13
, но не :  count:15  textCnt:15
в рамка проект :  count:15  textCnt:14
признал , что :  count:15  textCnt:15
2002 год . :  count:15  textCnt:15
того , на :  count:15  textCnt:15
, получивший название :  count:15  textCnt:15
военен морской флот :  count:15  textCnt:10
май 2005 год :  count:15  textCnt:15
метр , а :  count:15  textCnt:15
там , где :  count:15  textCnt:15
а также в :  count:15  textCnt:14
два год . :  count:15  textCnt:14
салижан шарип и :  count:15  textCnt:13
вооружённый сила сша :  count:15  textCnt:14
2010 год . :  count:15  textCnt:15
год , но :  count:15  textCnt:15
, как сообщаю :  count:15  textCnt:15
управление полёт , :  count:15  textCnt:14
предел солнечный система :  count:15  textCnt:15
вооружённый сила , :  count:15  textCnt:12
по технический причина :  count:15  textCnt:14
, 5 тысяча :  count:15  textCnt:14
. ранее сообщаюсь :  count:15  textCnt:15
по мнение специалист :  count:15  textCnt:15
. он есть :  count:15  textCnt:15
с помощь который :  count:15  textCnt:14
, чем в :  count:15  textCnt:15
, сообщаю new :  count:15  textCnt:15
считаю учёный , :  count:15  textCnt:15
миллиард световы год :  count:15  textCnt:12
пилотируемый космический корабль :  count:15  textCnt:14
, как правило :  count:15  textCnt:15
на территория страна :  count:15  textCnt:11
, что позволил :  count:15  textCnt:13
ирак и афганистан :  count:15  textCnt:12
планет солнечный система :  count:14  textCnt:13
газета new york :  count:14  textCnt:14
. впрочем , :  count:14  textCnt:14
по информация сайт :  count:14  textCnt:14
небесный тело , :  count:14  textCnt:14
reuters . в :  count:14  textCnt:14
. в четверг :  count:14  textCnt:14
учёный предполагаю , :  count:14  textCnt:14
два год назад :  count:14  textCnt:14
. это есть :  count:14  textCnt:13
передаю агентство reuters :  count:14  textCnt:14
возвращение на земля :  count:14  textCnt:13
, заявил он :  count:14  textCnt:14
, что по :  count:14  textCnt:13
тот , который :  count:14  textCnt:14
могу привести к :  count:14  textCnt:13
на территория сша :  count:14  textCnt:12
программа , который :  count:14  textCnt:14
2001 год . :  count:14  textCnt:14
в 1998 год :  count:14  textCnt:14
я думаю , :  count:14  textCnt:13
. для того :  count:14  textCnt:13
на луна и :  count:14  textCnt:12
то , чтобы :  count:14  textCnt:14
российский сегмент мкс :  count:14  textCnt:13
, похожий на :  count:14  textCnt:12
рассказал , что :  count:14  textCnt:14
от того , :  count:14  textCnt:13
сообщаю корреспондент лента :  count:14  textCnt:14
заявляю , что :  count:14  textCnt:14
московский временю , :  count:14  textCnt:14
на геостационарный орбита :  count:14  textCnt:12
операция в афганистан :  count:14  textCnt:12
в течение несколько :  count:14  textCnt:14
новость с ссылка :  count:14  textCnt:14
риа новость с :  count:14  textCnt:14
достаточно , чтобы :  count:14  textCnt:14
ядерный оружие , :  count:14  textCnt:11
. весь в :  count:14  textCnt:14
в санкт петербург :  count:14  textCnt:12
прошлое год . :  count:14  textCnt:14
беспилотный летательный аппарат :  count:14  textCnt:12
. ещё один :  count:14  textCnt:14
управление полёт . :  count:14  textCnt:14
на официальный сайт :  count:14  textCnt:13
. в нем :  count:14  textCnt:14
конец 2005 год :  count:14  textCnt:13
. в последний :  count:14  textCnt:13
, что один :  count:14  textCnt:13
год назад и :  count:14  textCnt:14
. в соответствие :  count:14  textCnt:14
тысяча километр . :  count:14  textCnt:14
, показал , :  count:14  textCnt:14
показываю , что :  count:14  textCnt:14
что привёл к :  count:14  textCnt:13
том , чтобы :  count:14  textCnt:12
, потому что :  count:14  textCnt:14
информационный агентство риа :  count:14  textCnt:14
, что привёл :  count:14  textCnt:13
. по сообщение :  count:14  textCnt:14
стартовал ракета носитель :  count:14  textCnt:14
отправился в космос :  count:14  textCnt:13
на мкс . :  count:14  textCnt:12
, прежде весь :  count:14  textCnt:14
, что она :  count:14  textCnt:14
посадка на поверхность :  count:14  textCnt:14
космодром на мыс :  count:14  textCnt:13
, и на :  count:14  textCnt:14
, что позволяю :  count:14  textCnt:14
эмбарго на поставка :  count:14  textCnt:12
плотный слой атмосфера :  count:14  textCnt:14
обнаружил , что :  count:14  textCnt:14
шон о киф :  count:14  textCnt:12
аппарат , который :  count:14  textCnt:14
в космос в :  count:14  textCnt:14
, что сша :  count:14  textCnt:13
того , по :  count:14  textCnt:14
агентство по аэронавтика :  count:14  textCnt:14
за это время :  count:14  textCnt:14
контракт на поставка :  count:14  textCnt:10
, что имя :  count:14  textCnt:13
представитель космический войско :  count:14  textCnt:14
, который также :  count:14  textCnt:14
прогресс м 51 :  count:14  textCnt:9
, дислоцированный в :  count:13  textCnt:12
. как известно :  count:13  textCnt:12
в следующий год :  count:13  textCnt:11
на орбита в :  count:13  textCnt:13
тот факт , :  count:13  textCnt:13
заявил он . :  count:13  textCnt:13
январь 2004 год :  count:13  textCnt:13
, добавил он :  count:13  textCnt:13
слово один из :  count:13  textCnt:13
в секунда . :  count:13  textCnt:13
, сообщаю итар :  count:13  textCnt:13
сообщаю defense industry :  count:13  textCnt:13
доллар в год :  count:13  textCnt:12
и южный корея :  count:13  textCnt:10
, работающий в :  count:13  textCnt:12
градус цельсий . :  count:13  textCnt:13
, и его :  count:13  textCnt:13
, сказал представитель :  count:13  textCnt:13
. за это :  count:13  textCnt:13
nasa шон о :  count:13  textCnt:13
в 1996 год :  count:13  textCnt:13
, что после :  count:13  textCnt:13
, что военный :  count:13  textCnt:11
сергей крикалев и :  count:13  textCnt:13
вернется на земля :  count:13  textCnt:13
. однако учёный :  count:13  textCnt:13
тысяча километр от :  count:13  textCnt:12
это , как :  count:13  textCnt:13
космический станция . :  count:13  textCnt:13
, установленный на :  count:13  textCnt:13
исследование в область :  count:13  textCnt:12
российский войско в :  count:13  textCnt:13
американский спутник связь :  count:13  textCnt:12
x prize , :  count:13  textCnt:12
в течение год :  count:13  textCnt:10
исследование показал , :  count:13  textCnt:13
